title,combined
Shokugeki no Souma,"Gourmet, Ecchi School J.C.Staff Dentsu, Frontier Works, Mainichi Broadcasting System, Magic Capsule, Warner Bros. Japan, KlockWorx, Showgate, Shueisha, I Will Sentai Filmworks"
Fumetsu no Anata e,"Adventure, Drama, Supernatural Brain's Base NHK, Kodansha, NHK Enterprises"
Sono Bisque Doll wa Koi wo Suru,"Romance Otaku Culture, School CloverWorks Aniplex, Square Enix, Movic, Studio Mausu, Tokyo MX, BS11"
Kizumonogatari II: Nekketsu-hen,"Action, Mystery, Supernatural Vampire Shaft Aniplex, Kodansha Aniplex of America"
Noragami Aragoto,"Action, Fantasy Mythology Bones Dentsu, Shochiku, Kodansha, Ai Addiction Inc., Avex Pictures, A-Sketch Funimation"
Barakamon,"Slice of Life Childcare, Iyashikei, Visual Arts Kinema Citrus VAP, Nippon Television Network Funimation"
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,"Adventure, Drama, Fantasy, Mystery, Sci-Fi Gore Kinema Citrus AT-X, Takeshobo, Kadokawa Media House, Cygames, Kanetsu Investment, Kadokawa, Global Solutions, Sony Music Solutions, IRMA LA DOUCE Sentai Filmworks"
86,"Action, Drama, Sci-Fi Mecha, Military A-1 Pictures Aniplex, Kadokawa, Bandai Spirits"
Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Supernatural ufotable Aniplex, Notes Aniplex of America"
Tensei shitara Slime Datta Ken,"Action, Adventure, Comedy, Fantasy Isekai, Reincarnation 8bit Lantis, Kodansha, BS11, Bandai Namco Arts, Micro Magazine Publishing Funimation"
Kuroko no Basket 2nd Season,"Sports School, Team Sports Production I.G Bandai Visual, Lantis, Nihon Ad Systems, Banpresto, Shueisha, BS11"
Kimetsu no Yaiba: Katanakaji no Sato-hen,"Action, Fantasy Historical ufotable Aniplex, Shueisha Aniplex of America"
Kono Subarashii Sekai ni Shukufuku wo!,"Adventure, Comedy, Fantasy Isekai, Parody Studio Deen Half H.P Studio, Nippon Columbia, KlockWorx, Sony Music Communications, Toranoana, 81 Produce, Kadokawa Media House, Kadokawa Discotek Media, Crunchyroll"
Black Clover,"Action, Comedy, Fantasy Pierrot TV Tokyo, Avex Pictures, Shueisha Funimation, Crunchyroll"
Shingeki no Kyojin: Kuinaki Sentaku,Action Wit Studio Production I.G Funimation
Fruits Basket 2nd Season,"Drama, Romance, Supernatural School TMS Entertainment TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music, 8PAN Funimation"
Boku no Hero Academia 2nd Season,"Action School, Super Power Bones Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha Funimation"
Nana,"Drama, Romance Adult Cast, Love Polygon, Music Madhouse VAP, Nippon Television Network, Shueisha VIZ Media, Sentai Filmworks"
Ouran Koukou Host Club,"Comedy, Romance Crossdressing, Reverse Harem, School Bones VAP, Hakusensha, Nippon Television Network Funimation"
Ore dake Level Up na Ken,"Action, Adventure, Fantasy Adult Cast A-1 Pictures Aniplex, Crunchyroll, Netmarble, Kakao piccoma, D&C Media"
Fullmetal Alchemist,"Action, Adventure, Award Winning, Drama, Fantasy Military Bones Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System Funimation, Aniplex of America"
Hunter x Hunter,"Action, Adventure, Fantasy Nippon Animation Fuji TV VIZ Media"
Ansatsu Kyoushitsu,"Action, Comedy School Lerche Dentsu, Studio Hibari, Fuji TV, DAX Production, BS Fuji, Avex Pictures, Shueisha Funimation"
No Game No Life,"Comedy, Fantasy, Ecchi Isekai, Strategy Game Madhouse Frontier Works, Media Factory, Movic, AT-X Sentai Filmworks"
Magi: The Kingdom of Magic,"Action, Adventure, Fantasy A-1 Pictures Aniplex, Dentsu, Shogakukan-Shueisha Productions, Mainichi Broadcasting System, Movic, GYAO! Aniplex of America"
Toradora!,"Drama, Romance Love Polygon, School J.C.Staff Genco, Starchild Records, Magic Capsule, Yomiuri Advertising, TV Tokyo Music NIS America, Inc."
Dr. Stone: Stone Wars,"Adventure, Comedy, Sci-Fi Survival TMS Entertainment TOHO animation, Shueisha, Toho Music, 8PAN Funimation"
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,"Action, Adventure, Supernatural David Production Yomiko Advertising, Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shueisha VIZ Media"
NHK ni Youkoso!,"Comedy, Drama, Romance, Suspense Adult Cast, Otaku Culture, Psychological Gonzo NHK, Victor Entertainment ADV Films, Funimation"
Danshi Koukousei no Nichijou,"Comedy Gag Humor, School Sunrise TV Tokyo, Square Enix, Trinity Sound, Happinet Pictures NIS America, Inc."
Bungou Stray Dogs 2nd Season,"Action, Mystery, Supernatural Adult Cast, Detective, Organized Crime, Super Power Bones Lantis, Movic, KlockWorx, Bandai Namco Live Creative, Glovision, Lawson HMV Entertainment, Sony PCL, Kadokawa Funimation, Crunchyroll"
Kage no Jitsuryokusha ni Naritakute!,"Action, Comedy, Fantasy Isekai, Reincarnation Nexus AT-X, BS NTV, Kadokawa, NewGin, Aiming Sentai Filmworks"
3-gatsu no Lion 2nd Season,"Drama Childcare, Strategy Game Shaft Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace, Toy's Factory Aniplex of America"
3-gatsu no Lion,"Drama Childcare, Strategy Game Shaft Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace, Toy's Factory Aniplex of America"
Evangelion Movie 2: Ha,"Action, Drama, Sci-Fi, Suspense Mecha, Psychological Khara Funimation"
Kizumonogatari I: Tekketsu-hen,"Action, Mystery, Supernatural Vampire Shaft Aniplex, Kodansha Aniplex of America"
No Game No Life: Zero,"Drama, Fantasy, Romance Isekai Madhouse Frontier Works, Movic, AT-X, Kadokawa Sentai Filmworks"
Blue Lock,"Sports Team Sports 8bit TV Asahi, Kodansha, Toy's Factory, Crunchyroll, Bandai Spirits, Bandai Namco Filmworks, Bandai Namco Music Live"
Odd Taxi,"Award Winning, Drama, Mystery, Suspense Adult Cast, Anthropomorphic, Organized Crime OLM, P.I.C.S. TV Tokyo, Dentsu, Pony Canyon, AT-X, Crunchyroll, Pony Canyon Enterprises, Yoshimoto Kogyo"
